2025-07-27 09:55:36,753 - INFO - Loaded 103 unique wallet addresses
2025-07-27 09:55:36,754 - INFO - Starting risk analysis process...
2025-07-27 09:56:33,648 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,648 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,649 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,650 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,650 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,652 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,652 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,653 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,654 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,655 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,656 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:33,656 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:34,953 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,766 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,767 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,767 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,768 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,768 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,768 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,769 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,769 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,769 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,770 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,770 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,770 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:39,771 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:50,197 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
